"Action Executed","Action Executed"
"Action Type","Action Type"
"Add a time constraint","Add a time constraint"
"Condition Satisfied","Condition Satisfied"
"Created At","Created At"
"Current Customer Group","Current Customer Group"
Customer,Customer
"Customer Group","Customer Group"
"Customer Reaches","Customer Reaches"
"Date & Time","Date & Time"
Days,Days
"Delete Milestone","Delete Milestone"
Disabled,Disabled
"Edit Milestone '%s'","Edit Milestone '%s'"
Enabled,Enabled
"General Information","General Information"
"Hide Advanced Settings","Hide Advanced Settings"
ID,ID
"Milestone Action","Milestone Action"
"Milestone Details","Milestone Details"
"Milestone History","Milestone History"
"Milestone Information","Milestone Information"
"Milestone Name","Milestone Name"
"Milestone Rule Applied","Milestone Rule Applied"
"Milestone Settings","Milestone Settings"
"Milestone Type","Milestone Type"
Milestones,Milestones
Months,Months
"Moved From","Moved From"
"Moved To","Moved To"
"New Milestone","New Milestone"
"Points Rewarded","Points Rewarded"
"Points Transfers","Points Transfers"
"Remove the time constraint","Remove the time constraint"
"Save Milestone","Save Milestone"
"Show Advanced Settings","Show Advanced Settings"
Status,Status
"Successfully saved milestone.","Successfully saved milestone."
"This milestone no longer exists","This milestone no longer exists"
"This milestone's history no longer exists","This milestone's history no longer exists"
Website,Website
Weeks,Weeks
Years,Years
"within {{duration}} {{duration_type}}","within {{duration}} {{duration_type}}"
"%s day period of inactivity","%s day period of inactivity"
"%s is the name of the milestone reached.","%s is the name of the milestone reached."
Comments/Notes,Comments/Notes
General,General
"Inactivity Milestone","Inactivity Milestone"
"Length of Membership","Length of Membership"
"Magento's Cron must be functional for this rule.","Magento's Cron must be functional for this rule."
"Membership Milestone","Membership Milestone"
"Number of Inactive Days","Number of Inactive Days"
"Number of Orders","Number of Orders"
"Number of Orders Milestone","Number of Orders Milestone"
"Number of Referrals","Number of Referrals"
"Number of Referrals Milestone","Number of Referrals Milestone"
"Number of days since signup","Number of days since signup"
"Order Is Created","Order Is Created"
"Order Is Paid For","Order Is Paid For"
"Order Is Shipped","Order Is Shipped"
"Orders Milestone","Orders Milestone"
"Period of Inactivity","Period of Inactivity"
Points,Points
"Points Earned","Points Earned"
"Points Earned Milestone","Points Earned Milestone"
"Points Earned for Reaching a Milestone","Points Earned for Reaching a Milestone"
"Points Rewards","Points Rewards"
"Reaches a Milestone","Reaches a Milestone"
"Reaches an inactivity period","Reaches an inactivity period"
"Reaches milestone for length of membership","Reaches milestone for length of membership"
"Reaches milestone for number of orders","Reaches milestone for number of orders"
"Reaches milestone for number of referrals","Reaches milestone for number of referrals"
"Reaches milestone for points earned","Reaches milestone for points earned"
"Reaches milestone for revenue produced","Reaches milestone for revenue produced"
"Referral Places First Order","Referral Places First Order"
"Referral Signs-up","Referral Signs-up"
"Referrals Milestone","Referrals Milestone"
Revenue,Revenue
"Revenue Milestone","Revenue Milestone"
"Sweet Tooth - Generic Milestone Notification","Sweet Tooth - Generic Milestone Notification"
"disable these emails","disable these emails"
"membership period of %s days","membership period of %s days"
"milestone for earning %s","milestone for earning %s"
"milestone for placing %s order","milestone for placing %s order"
"milestone for placing %s orders","milestone for placing %s orders"
"milestone for reaching %s in revenue","milestone for reaching %s in revenue"
"milestone for referring %s people","milestone for referring %s people"
"milestone for referring %s person","milestone for referring %s person"
