"Page Manager", "Sivun hallinta"
"Manage pages", "Hallinnoi sivuja"
"Add Page", "Lisää sivu"
"Enter the page information below", "Lisää sivun tiedot"
"Name", "Nimi"
"Status", "Status"
"Position","Sijainti"
"Save", "Tallenna"
"Delete", "Poista"
"Active", "Aktiivinen"
"Not Active", "Ei aktiivinen"
"Your page has been saved successfully", "Sivu tallennettiin onnistuneesti"
"Your page has been updated successfully.", "Sivu päivitettiin onnistuneesti"
"Your pages has been updated successfully.", "Sivut päivitettiin onnistuneesti"
"Enable", "Aktivoi"
"Disable", "Ota pois käytöstä"
"Update position", "Päivitä sijaintia"
"Please select one or more items.", "Valitse yksi tai useampia kohteita."
"Are you sure?", "Oletko varma?"
"Edit page: ", "Muokkaa sivua: "
"Rows and blocks belonging to this page", "Tälle sivulle kuuluvat rivit ja sisältölohkot."
"Image", "Kuva"
"There are no saved pages.", "Ei tallennettuja sivuja."
"There are no saved rows or blocks for this page.", "Tällä sivulla ei ole tallennettuja rivejä tai sisältölohkoja."
"There are no saved blocks for this row.", "Tällä rivillä ei ole tallennettuja sisältölohkoja."
"Add image in page: ", "Lisää kuva sivulle: "
"Title", "Otsikko"
"Alt-text", "Alt-text"
"Link", "Linkki"
"Link target", "Avaa linkki"
"Same window", "Samassa ikkunassa "
"New window", "Uudessa ikkunassa"
"Enter the image information below", "Syötä kuvan tiedot"
"Your image has been saved successfully.", "Kuva tallennettiin onnistuneesti"
"Edit image: ", "Muokkaa kuvaa: "
"Your images has been updated successfully.", "Kuva päivitettiin onnistuneesti"
"Here is a list of all saved pages", "Lista tallennetuista sivuista"
"Your image has been deleted successfully.", "Kuva poistettiin onnistuneesti"
"Your page has been deleted successfully.", "Sivu poistettiin onnistuneesti"
"Select All", "Valitse kaikki"
"Unselect All", "Poista kaikki valinnat"
"Existing image", "Kuva hakemistosta"
"Choose new image", "Valitse uusi kuva"
"Edit the image information below", "Muokkaa kuvan tietoja"
"Page information", "Sivun tiedot"
"ID", "ID"
"There are no items that can me updated.", "Päivitettäviä tietoja ei löytynyt."
"Image text", "Kuvateksti"
"Row ","Rivi "
"Your item has been updated successfully.","Kohde tallennettiin onnistuneesti."
"Copy","Kopioi"
"Edit","Muokkaa"
"H1","H1"
"Image","Kuva"
"Toplist","Top-lista"
"Slideshow","Slideshow"
"Add ","Lisää "
"Send","Lähetä"
"Edit row","Muokkaa riviä"
"Heading","Otsikko"
"Your item has been saved successfully.","Kohde tallennettiin onnistuneesti."
"Or go to Slideshowmanager and ","Tai mene Slideshowmanageriin ja "
"create a new slideshow","luo uusi slideshow"
"Your rows and items has been updated successfully.","Rivit ja kohteet päivitettiin onnistuneesti."
"Views count","Katsottu"
"Ordered qty","Tilausmäärä"
"Random","Satunnainen"
"New products","Uudet tuotteet"
"Oldest added products","Vanhimmat tuotteet"
"Best reviews","Parhaat arviot"
"Most reviews","Eniten arvioita"
"In pricerule","In pricerule"
"Suggested related","Suggested related"
"Category id","Kategoria id"
"Total number of products","Tuotteiden määrä yhteensä"
"Choose toplist style","Valitse top-listan tyyli"
"Sort by","Lajittele"
"Horizontal with text and images","Vaakasuoraan tekstin ja kuvan kanssa"
"Vertical with text and images","Pystysuoraan tekstin ja kuvan kanssa"
"Vertical, only product name","Pystysuoraan, vain tuotteen nimi"
"Edit the toplist information below","Muokkaa top-listan tietoja"
"Enter the row information below","Syötä rivin tiedot"
"Edit the row information below","Muokkaa rivin tietoja"
"Rowtype","Rivityyppi"
"Add row to page: ","Lisää rivi sivulle: "
"One block","Yksi sisältölohko"
"Two blocks","Kaksi sisältölohkoa"
"Three blocks","Kolme sisältölohkoa"
"Four blocks", "Neljä sisältölohkoa"
"Five blocks", "Viisi sisältölohkoa"
"Six blocks", "Kuusi sisältölohkoa"
"Show/Hide items","Näytä/piilota sisältölohkot"
"Edit Heading: ","Muokkaa otsikkoa: "
"Add Heading to page: ","Lisää otsikko sivulle: "
"Enter the Heading information below","Syötä otsikon tiedot"
"Edit the Heading information below","Muokkaa otsikon tietoja"
"Heading type","Otsikon tyyppi"
"Heading","Otsikko"
"H1 (Only one per page and preferably at the top of the page)","H1 (Vain yksi per sivu ja mielellään sivun yläosaan)"
"Edit the slideshow information below","Muokkaa slideshow:n tietoja"
"Edit toplist: ","Muokkaa top-listaa: "
"Edit row: ","Muokkaa riviä: "
"The page H1, top heading (Click change to edit the text)","Sivun H1, yläotsikko (Klikkaa muuta muokataksesi tekstiä)"
"You must choose a slideshow.","Slideshow täytyy valita."
"Copy heading: ","Kopioi otsikko: "
"Copy heading","Kopioi otsikko"
"Type: ","Tyyppi: "
"Choose row to copy to","Valitse kopioitava rivi"
"Copy toplist","Kopioi top-lista"
"Copy toplist: ","Kopioi top-lista: "
"Copy slideshow: ","Kopioi slideshow: "
"Copy slideshow","Kopioi slideshow"
"Copy image: ","Kopioi kuva: "
"Copy image","Kopioi kuva"
"Use this code to include this collection of rows and blocks within a page or static block","Käyttämällä tätä koodia voit sisällyttää rivejä ja sisältölohkoja sivulle tai staattiseen sisältölohkoon."
"Classnames (separate by space)", "Luokkanimi (erota välilyönnillä)"
"Predefined classnames", "Aiemmin määritellyt luokkanimet"
"Action", "Toiminto"
"Actions", "Toiminnot"
