"Blog","Blogi"
"Posts","Postaukset"
"Comments","Kommentit"
"Comments:","Kommentit:"
"Name Of Product Type","Tuotetyyppi"
"Attribute Set Id","Attribuuttisetin id"
"Add Post","Lisää postaus"
"Author","Tekijä"
"Publish Date","Julkaisupäivä"
"Settings","Asetukset"
"There are no blog posts in this category.","Kategoriassa ei ole blogipostauksia."
"Read more","Lue lisää"
"Posted","Julkaistu"
"in",""
"Today","Tänään",
"Yesterday","Eilen"
"Content","Sisältö"
"Blog Settings","Blogin asetukset"
"Module Settings","Moduulin asetukset"
"For each post in a feed, show","Näytä jokaiselle postaukselle feedissä"
"Summary","Tiivistelmä"
"Full text","Koko teksti"
"Number of characters for summary","Tiivistelmän pituus"
"Suffix for summary","Etuliite tiivistelmälle"
"Activate Related Products","Aktivoi liittyvät tuotteet"
"Activate Cross-sells","Aktivoi ristiinmyyntituotteet"
"Activate Up-sells","Aktivoi vaihtoehtoiset tuotteet"
"Show Publish Date","Näytä julkaisupäivän mukaan"
"Sort by Publish Date","Järjestä julkaisupäivän mukaan"
"The list with blog posts will be sort by publish date.","Lista järjestellään julkaisupäivän perusteella."
"Activate Author","Aktivoi tekijä"
"Tags:", "Tagit:"
