"You will be redirected to DIBS when you place an order.","Du kommer til å bli sendt videre til DIBS når du bekrefter ordren."
"Payment failure.","En feil oppsto under betalingen."
"Aborting Dibs payment.","Avbryter DIBS betaling."
"You will be redirected to DIBS in a few seconds.","Du kommer til å bli sendt videre til DIBS i løpet av noen sekunder."
"Payment successfully received.","Ordren er mottatt."
"Order created","Ordren er lagt"
"DIBS Order ID","DIBS Ordrenr."
"Order payment reserved","Betaling er reservert"
"Order payment attempted. MD5 key mismatch.","Betalingen ble mislykket. MD5 key mismatch."
"Selected currency code is not compatabile with DIBS","Denne valuta er ikke kompatibel med DIBS"
"This order doesn't contain necessary Dibs information so it can not capture online, please change option","Mottak av betaling online ble mislykket, denne ordren inneholder ikke nødvendig informasjon, vennligst velg ett annet alternativ"
"Capture failed","Mottak av betaling online ble mislykket"
"Capture successful","Mottak av betaling online ble vellykket"
"Unknown error in communication with Dibs","Ukjent feil i kommunikasjonen med DIBS"
"Name","Navn"
"Phone","Telefon"
"E-mail","E-post"
"Payment failure.","Betaling ble mislykket."
"Once you have completed your order, you will be transferred to the DIBS payment system.","Når du har bekreftet ordren, flyttes du til DIBS betalingssystem."
"Here you need to process your payment.","Der kan du fullføre din bestilling med dine kortdetaljer."
"Once payment is completed, you will automatically be returned to our shop.","Når betalingen er gjennomført blir du automatisk sendt videre til vår nettbutikk."
"You can pay with the following payment cards:","Du kan betale med følgende kredittkort:"
"Manual Capture","Ta betalt manuelt"
"Capture on Invoice","Ta betalt på faktura"
"Direct Capture","Ta betalt direkte"
"Department ID","Avdelnings nummer"
"If you have seperate departments in your Dibs account, you can tag the invoices with this ID.","Om du har separata avdelningar på detta Dibs konto, kan du märka fakturorna med detta nummer."
